capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine
Abuja,1995,26.51027397260274,2.0935431692840494,1766.1,177,0.0,0,43654.67112328768,32630.293917808216
Abuja,1996,26.62363387978142,2.149573431362982,1480.5,171,0.0,0,43649.53256830601,33317.83650273224
Abuja,1997,26.387260273972604,1.6658275673878042,1637.2,194,0.0,0,43654.66336986302,33933.19150684932
Abuja,1998,27.206027397260275,2.5564810656071284,1589.3,153,0.0,0,43654.60304109589,33052.28967123288
Abuja,1999,26.543972602739725,2.4463034120612934,1465.5,171,0.0,0,43654.57405479452,32451.120000000003
Abuja,2000,26.705601092896174,2.21254890372982,1410.4,151,0.0,0,43649.48467213115,34139.74153005465
Abuja,2001,26.705479452054796,2.15131830340634,1180.8,138,0.0,0,43654.55430136986,33282.76783561644
Abuja,2002,26.736849315068493,1.9477352844318125,1376.3,151,0.0,0,43654.54810958904,33680.454410958904
Abuja,2003,27.038630136986303,2.2142212154271066,1165.2,158,0.0,0,43654.596657534246,34912.63093150685
Abuja,2004,26.882923497267758,2.1484086317378774,1385.9,164,0.0,0,43649.46237704918,33965.71032786885
Abuja,2005,27.237260273972602,2.525585157021644,1267.9,150,0.0,0,43654.6061369863,34273.72298630137
Abuja,2006,27.20068493150685,2.3515644364573105,1334.4,161,0.0,0,43654.57498630137,34086.71657534247
Abuja,2007,26.902465753424657,2.3176892509127316,1214.5,143,0.0,0,43654.58221917808,33661.29150684932
Abuja,2008,26.684426229508198,2.0815571288927868,1252.5,152,0.0,0,43649.52046448088,33429.66322404372
Abuja,2009,26.94109589041096,2.06145523764736,1453.2,161,0.0,0,43654.568630136986,33604.79243835616
Abuja,2010,27.165068493150685,2.524488373412242,1336.6,168,0.0,0,43654.535972602745,32703.323835616437
Abuja,2011,26.834520547945207,2.180230883715617,1152.6,145,0.0,0,43654.56482191781,33292.76547945206
Abuja,2012,26.575136612021858,2.250606459010727,1812.1,165,0.0,0,43649.43057377049,32804.05994535519
Abuja,2013,26.79739726027397,2.3081913542889962,1468.8,160,0.0,0,43654.55534246575,33308.889726027395
Abuja,2014,26.74041095890411,1.9979807377577479,1533.0,174,0.0,0,43654.51424657534,32988.04194520548
Abuja,2015,27.032328767123285,2.195595941872478,1192.5,150,0.0,0,43654.52668493151,32571.43435616438
Abuja,2016,27.159016393442624,2.1121210827563117,1514.9,169,0.0,0,43649.47554644809,33934.14387978142
Abuja,2017,27.10767123287671,2.1768755463651273,754.9,124,0.0,0,43654.534,35324.248
Abuja,2018,26.543835616438358,1.987857114324298,1172.3,156,0.0,0,43654.53443835617,33623.29969863014
Abuja,2019,26.3813698630137,2.0840566389529815,1280.9,169,0.0,0,43654.597726027394,31949.15701369863
Abuja,2020,26.773907103825138,2.300814812692574,917.2,111,0.0,0,43649.47316939891,33125.381475409835
Abuja,2021,26.81287671232877,2.0155981575107065,761.6,99,0.0,0,43654.56630136986,34310.07575342466
Abuja,2022,26.26931506849315,2.1041666727526285,1113.9,134,0.0,0,43654.4962739726,32150.61358904109
Abuja,2023,26.867534246575342,1.8124021616806203,858.5,124,0.0,0,43654.49090410959,33433.353095890416
Abuja,2024,27.335928961748635,2.349666274265171,727.4,108,0.0,0,43649.41232240437,33135.56270491803
Accra,1995,26.854109589041094,1.3307168146170267,576.8,111,0.0,0,43638.979232876714,36478.40504109589
Accra,1996,26.616803278688526,1.4069340608591594,687.9,134,0.0,0,43635.8362021858,35895.4481420765
Accra,1997,26.506438356164384,1.3306172345563523,661.5,108,0.0,0,43638.974,36265.72224657534
Accra,1998,27.273698630136984,1.6877406274099676,366.5,87,0.0,0,43638.93676712329,37428.77569863014
Accra,1999,26.55917808219178,1.4872228280179174,761.2,130,0.0,0,43638.91991780822,36130.52435616439
Accra,2000,26.641803278688524,1.4650357981844053,439.4,101,0.0,0,43635.80658469946,36206.53792349727
Accra,2001,26.536712328767123,1.482436603164713,557.1,116,0.0,0,43638.907863013694,35997.78410958904
Accra,2002,26.73904109589041,1.5195892703307285,554.4,116,0.0,0,43638.904027397264,36548.63747945205
Accra,2003,26.972739726027395,1.477766785078873,571.8,114,0.0,0,43638.93550684932,37016.07931506849
Accra,2004,26.808060109289617,1.4674306337507452,396.9,92,0.0,0,43635.79398907104,36910.2556010929
Accra,2005,26.80821917808219,1.657753463345978,694.1,120,0.0,0,43638.94104109589,36437.91221917808
Accra,2006,27.013424657534244,1.4743775173530171,521.3,110,0.0,0,43638.922,35755.6853150685
Accra,2007,26.815479452054795,1.499564992871557,651.1,109,0.0,0,43638.92646575342,36220.56769863014
Accra,2008,26.784699453551916,1.3931725074274717,587.5,105,0.0,0,43635.82994535519,36150.64896174863
Accra,2009,26.852191780821915,1.5113292368045412,644.5,98,0.0,0,43638.916739726024,35972.70668493151
Accra,2010,27.13972602739726,1.5378815282922331,620.8,128,0.0,0,43638.89621917808,36193.67336986301
Accra,2011,26.80191780821918,1.380280726278482,534.8,109,0.0,0,43638.91394520548,36268.24079452055
Accra,2012,26.690437158469948,1.397734497741657,654.1,145,0.0,0,43635.77221311475,36326.12609289618
Accra,2013,26.844520547945205,1.6015437616852948,485.9,111,0.0,0,43638.90663013699,36792.35484931507
Accra,2014,26.660684931506847,1.4554919948809173,795.1,146,0.0,0,43638.8814520548,35388.364
Accra,2015,26.718356164383565,1.3833358845565085,670.4,109,0.0,0,43638.888630136986,36115.894712328765
Accra,2016,27.041666666666668,1.5062309700573255,752.7,115,0.0,0,43635.798797814205,36274.63357923497
Accra,2017,26.874931506849315,1.404636282442946,821.6,164,0.0,0,43638.8933150685,35811.472273972606
Accra,2018,26.894520547945206,1.247358793232577,640.7,153,0.0,0,43638.894,35928.447753424654
Accra,2019,27.076986301369864,1.4182161494339052,919.5,167,0.0,0,43638.933260273974,35561.93980821918
Accra,2020,26.928142076502734,1.4107465590004367,781.8,139,0.0,0,43635.79822404372,35950.99721311476
Accra,2021,27.042876712328766,1.2268028664866821,834.1,162,0.0,0,43638.914438356165,36212.416739726024
Accra,2022,26.534109589041098,1.4315401638460898,1035.0,162,0.0,0,43638.87183561644,35023.8435890411
Accra,2023,27.021643835616437,1.2076553135373165,1097.6,191,0.0,0,43638.86882191781,34370.477452054794
Accra,2024,27.396584699453552,1.4856742677291845,916.2,189,0.0,0,43635.761775956285,35084.18199453552
Addis Ababa,1995,15.867260273972603,1.1132274881232078,1737.8,143,0.0,0,43654.67112328768,38067.49671232877
Addis Ababa,1996,15.408333333333333,1.072651411330034,2171.2,201,0.0,0,43649.53256830601,37113.9025136612
Addis Ababa,1997,15.957260273972603,1.13207271282648,1584.6,148,0.0,0,43654.66336986302,38163.54673972603
Addis Ababa,1998,16.126301369863015,1.6779824250619557,1950.3,176,0.0,0,43654.60304109589,37676.17915068493
Addis Ababa,1999,15.368082191780823,1.8058632053128694,1634.5,154,0.0,0,43654.57405479452,38059.32931506849
Addis Ababa,2000,15.501912568306011,1.4963871204513026,1804.0,149,0.0,0,43649.48467213115,37947.01418032787
Addis Ababa,2001,15.467534246575342,1.0122909237694107,1806.5,170,0.0,0,43654.55430136986,37800.49038356164
Addis Ababa,2002,16.11808219178082,1.188111505402548,1810.8,158,0.0,0,43654.54810958904,38345.39745205479
Addis Ababa,2003,15.81986301369863,1.3781442502836183,1754.6,151,0.0,0,43654.596657534246,37920.614383561646
Addis Ababa,2004,15.632240437158469,1.1130847705431814,1994.6,175,0.0,0,43649.46237704918,37862.82142076503
Addis Ababa,2005,15.9,1.4471647156718956,2143.1,178,0.0,0,43654.6061369863,38031.05383561644
Addis Ababa,2006,15.766301369863013,1.0369353446221607,1811.7,187,0.0,0,43654.57498630137,37448.14202739726
Addis Ababa,2007,15.671095890410959,1.4541646913506652,1726.6,161,0.0,0,43654.58221917808,37625.89389041096
Addis Ababa,2008,15.860245901639345,1.631965852003783,1664.1,145,0.0,0,43649.52046448088,38089.90494535519
Addis Ababa,2009,16.294383561643834,1.7091632377732153,1489.4,138,0.0,0,43654.568630136986,38373.816739726026
Addis Ababa,2010,15.787260273972604,1.0854472672513589,2142.2,195,0.0,0,43654.535972602745,37357.41
Addis Ababa,2011,15.953972602739725,1.3767513718557423,1797.7,151,0.0,0,43654.56482191781,37953.40493150685
Addis Ababa,2012,15.907103825136613,1.1804764884891794,1653.9,146,0.0,0,43649.43057377049,37855.1456284153
Addis Ababa,2013,15.776986301369863,1.3769907516144033,1965.2,176,0.0,0,43654.55534246575,37207.146493150685
Addis Ababa,2014,15.856438356164384,1.247026540187242,1802.7,160,0.0,0,43654.51424657534,37807.751589041094
Addis Ababa,2015,16.556575342465752,1.2748025263775082,1550.9,138,0.0,0,43654.52668493151,38326.99704109589
Addis Ababa,2016,16.12172131147541,1.4512250994395017,1710.5,175,0.0,0,43649.47554644809,37559.085519125685
Addis Ababa,2017,15.336849315068493,1.4336055719837542,1242.1,150,0.0,0,43654.534,37316.35068493151
Addis Ababa,2018,15.02013698630137,1.0149899760652177,1490.6,172,0.0,0,43654.53443835617,36708.883835616434
Addis Ababa,2019,15.587945205479453,1.3364726812615877,1440.5,170,0.0,0,43654.597726027394,36332.01301369863
Addis Ababa,2020,15.535928961748633,1.3270267870581525,1426.9,172,0.0,0,43649.47316939891,35782.866092896176
Addis Ababa,2021,15.311095890410959,1.313886694610412,1387.6,142,0.0,0,43654.56630136986,36513.03857534246
Addis Ababa,2022,15.413561643835616,1.509889896523469,1120.9,134,0.0,0,43654.4962739726,36263.220465753424
