capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,2003,27.038630136986303,2.2142212154271066,1165.2,158,0.0,0,43654.596657534246,34912.63093150685,1,Nigeria,9.055555555,7.491388888
Accra,2003,26.972739726027395,1.477766785078873,571.8,114,0.0,0,43638.93550684932,37016.07931506849,1,Ghana,5.55602,-0.1969
Addis Ababa,2003,15.81986301369863,1.3781442502836183,1754.6,151,0.0,0,43654.596657534246,37920.614383561646,1,Ethiopia,9.027222222,38.736944444
Algiers,2003,18.622328767123285,6.4267652726419975,789.1,93,0.0,0,43885.55430136986,36651.04397260274,1,Algeria,36.776388888,3.058611111
Alofi,2003,25.224109589041095,1.5546834910000218,1820.2,149,0.0,0,43575.50761643836,35535.05263013699,1,Niue,-19.056,-169.921
Amman,2003,17.43,7.153375442389434,221.0,45,2.17,1,43825.62030136986,38860.8257260274,4,Jordan,31.95,35.933333333
Amsterdam,2003,10.57931506849315,6.439209887876731,587.5,108,5.74,1,44215.71383561644,29804.900273972602,2,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,2003,10.231917808219178,8.326030058298342,778.2,105,106.96,23,43975.140630136986,35047.779534246576,2,Andorra,42.507222222,1.522222222
Antananarivo,2003,18.31109589041096,2.883139486951562,1085.4,108,0.0,0,43575.70791780822,34100.08526027397,1,Madagascar,-18.91,47.525
Apia,2003,26.44150684931507,0.7800106917287708,3271.6,306,0.0,0,43582.329479452055,36211.71178082192,3,Samoa,-13.833333333,-171.833333333
Asmara,2003,17.399863013698628,1.7175464012724264,1151.4,123,0.0,0,43688.80501369863,38003.14884931507,1,Eritrea,15.333333333,38.916666666
Astana,2003,3.6506849315068495,13.495200340190868,243.8,47,55.58,18,44177.598191780824,29740.03046575342,2,Kazakhstan,51.133333333,71.433333333
Asunción,2003,23.556164383561644,4.792225168000342,1551.9,105,0.0,0,43572.54460273973,33367.85043835617,1,Paraguay,-25.28,-57.634444444
Athens,2003,17.272876712328767,7.912946944037597,487.0,65,14.28,3,43902.393589041094,34988.90260273973,2,Greece,37.984166666,23.728055555
Avarua,2003,24.2913698630137,1.5624414846788108,1881.5,134,0.0,0,43573.853287671234,34530.875561643836,1,Cook Islands,-21.207,-159.771
Baghdad,2003,25.165616438356167,10.164358245053892,99.6,26,0.0,0,43840.90731506849,38456.23805479452,4,Iraq,33.315277777,44.366111111
Baku,2003,14.694794520547946,7.97346993651706,262.9,66,22.96,5,43939.035616438356,31912.098602739727,2,Azerbaijan,40.366655555,49.835183333
Bamako,2003,28.306575342465752,2.964519687194532,836.1,112,0.0,0,43673.05252054794,37029.88498630137,1,Mali,12.645833333,-7.992222222
