capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,2011,26.834520547945207,2.180230883715617,1152.6,145,0.0,0,43654.56482191781,33292.76547945206,1,Nigeria,9.055555555,7.491388888
Accra,2011,26.80191780821918,1.380280726278482,534.8,109,0.0,0,43638.91394520548,36268.24079452055,1,Ghana,5.55602,-0.1969
Addis Ababa,2011,15.953972602739725,1.3767513718557423,1797.7,151,0.0,0,43654.56482191781,37953.40493150685,1,Ethiopia,9.027222222,38.736944444
Algiers,2011,18.401917808219178,5.746510804113868,661.9,85,0.0,0,43885.413452054796,37057.41865753425,4,Algeria,36.776388888,3.058611111
Alofi,2011,25.43712328767123,0.8451046483285508,1732.1,190,0.0,0,43575.56287671233,36271.66512328767,1,Niue,-19.056,-169.921
Amman,2011,17.098904109589043,6.8543710610003235,154.2,32,0.0,0,43825.50353424657,39143.993315068496,4,Jordan,31.95,35.933333333
Amsterdam,2011,10.838082191780822,5.3638789006984355,762.9,133,3.08,1,44215.45049315068,26495.335643835617,2,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,2011,11.233561643835616,6.659147713398047,644.6,102,27.86,6,43974.96523287671,36401.29961643835,2,Andorra,42.507222222,1.522222222
Antananarivo,2011,18.84068493150685,2.448035952367839,907.1,110,0.0,0,43575.76205479452,35242.89810958904,1,Madagascar,-18.91,47.525
Apia,2011,26.12917808219178,0.6848773721644672,2651.3,266,0.0,0,43582.36775342466,36277.606712328765,3,Samoa,-13.833333333,-171.833333333
Asmara,2011,17.106301369863015,1.83141504383164,981.9,121,0.0,0,43688.75230136986,38157.096,1,Eritrea,15.333333333,38.916666666
Astana,2011,3.270821917808219,14.734824261791923,242.0,47,49.84,18,44177.34849315068,30815.819315068497,2,Kazakhstan,51.133333333,71.433333333
Asunción,2011,23.094383561643838,4.944534663574468,1349.7,112,0.0,0,43572.621150684936,34025.05339726027,1,Paraguay,-25.28,-57.634444444
Athens,2011,16.956438356164384,7.372099423990842,443.4,57,0.0,0,43902.24597260274,35896.21745205479,4,Greece,37.984166666,23.728055555
Avarua,2011,24.64068493150685,1.0593037947538997,1627.0,152,0.0,0,43573.915424657534,36164.38512328767,1,Cook Islands,-21.207,-159.771
Baghdad,2011,24.79164383561644,10.510439213240144,105.9,20,0.0,0,43840.78394520548,38674.31865753425,4,Iraq,33.315277777,44.366111111
Baku,2011,15.069315068493152,8.47809091886146,347.6,75,20.23,6,43938.873863013694,32705.175369863013,2,Azerbaijan,40.366655555,49.835183333
Bamako,2011,28.19958904109589,2.88824704353609,671.1,85,0.0,0,43673.009013698625,37890.520876712326,1,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,2011,26.739315068493152,0.7581033461383513,2726.8,282,0.0,0,43635.95178082192,32641.154712328767,3,Brunei,4.916666666,114.916666666
Bangui,2011,27.372602739726027,1.400079498721315,1062.4,162,0.0,0,43633.923287671234,36470.10756164383,1,Central African Republic,4.37325,18.562833333
