capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,Autumn,1995,25.346153846153847,0.9972804901673215,612.4,55,0.0,0,42978.835824175825,32718.24208791209,0,Nigeria,9.055555555,7.491388888
Accra,Autumn,1995,26.107142857142858,0.9803222664163774,77.3,24,0.0,0,43220.124615384615,37179.76208791209,3,Ghana,5.55602,-0.1969
Addis Ababa,Autumn,1995,15.027472527472527,0.7214670138091225,284.40000000000003,24,0.0,0,42978.835824175825,38954.92098901099,0,Ethiopia,9.027222222,38.736944444
Algiers,Autumn,1995,19.946153846153845,3.146340297068527,93.7,21,0.0,0,40698.78582417582,34611.82791208791,4,Algeria,36.776388888,3.058611111
Alofi,Autumn,1995,24.48901098901099,0.9116164580263822,354.6,34,0.0,0,45020.83208791209,37786.00846153846,0,Niue,-19.056,-169.921
Amman,Autumn,1995,18.849450549450548,5.568470239290214,15.100000000000001,4,0.0,0,41177.13879120879,37047.709890109894,3,Jordan,31.95,35.933333333
Amsterdam,Autumn,1995,11.90989010989011,3.9830349942685372,123.2,26,0.0,0,38564.00868131868,23453.073516483517,4,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Autumn,1995,10.945604395604395,3.9388636852075893,142.70000000000002,23,0.0,0,40051.097582417584,32474.674505494506,4,Andorra,42.507222222,1.522222222
Antananarivo,Autumn,1995,18.87912087912088,1.9260071814517326,42.7,8,0.0,0,45003.694175824174,37997.421428571426,3,Madagascar,-18.91,47.525
Apia,Autumn,1995,26.089010989010987,0.5134200250283619,730.3,80,0.0,0,44606.39428571428,37340.981538461536,0,Samoa,-13.833333333,-171.833333333
Asmara,Autumn,1995,17.068681318681318,1.2778812401708073,126.1,19,0.0,0,42525.57692307692,38474.792417582416,3,Eritrea,15.333333333,38.916666666
Astana,Autumn,1995,4.5807692307692305,7.2340044589992125,122.0,14,19.25,7,38780.49769230769,22430.23879120879,1,Kazakhstan,51.133333333,71.433333333
Asunción,Autumn,1995,23.49615384615385,4.056032754971502,419.8,28,0.0,0,45550.08065934066,35022.662637362635,0,Paraguay,-25.28,-57.634444444
Athens,Autumn,1995,17.247802197802198,5.623269670099572,45.4,11,0.0,0,40571.64637362637,33189.36615384615,4,Greece,37.984166666,23.728055555
Avarua,Autumn,1995,23.19835164835165,1.2024385073085275,506.6,28,0.0,0,45195.20857142857,36512.88769230769,0,Cook Islands,-21.207,-159.771
Baghdad,Autumn,1995,25.506593406593407,6.878291974640251,1.4000000000000001,0,0.0,0,41050.84,37305.339670329675,3,Iraq,33.315277777,44.366111111
Baku,Autumn,1995,16.946703296703298,4.978720285139108,109.89999999999999,17,0.0,0,40304.060989010984,29878.65714285714,4,Azerbaijan,40.366655555,49.835183333
Bamako,Autumn,1995,26.628571428571426,1.030187222928781,273.3,30,0.0,0,42724.15912087912,36597.9878021978,0,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,Autumn,1995,26.8467032967033,0.5334271895437702,641.5,72,0.0,0,43269.13395604395,34156.95945054945,0,Brunei,4.916666666,114.916666666
Bangui,Autumn,1995,26.034065934065932,1.011815725451556,465.2,61,0.0,0,43303.41395604396,31314.17274725275,0,Central African Republic,4.37325,18.562833333
Basseterre,Autumn,1995,26.53021978021978,0.6220878430682321,467.1,44,0.0,0,42380.27615384615,37197.3043956044,0,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,Autumn,1995,12.260989010989011,6.091035317022161,139.6,15,0.0,0,40360.71,29795.742307692304,4,People's Republic of China,39.90403,116.407526
Beirut,Autumn,1995,20.13131868131868,4.646986169979472,210.1,13,0.0,0,40989.66747252747,36147.643626373625,4,Lebanon,33.886944444,35.513055555
Belgrade,Autumn,1995,11.334065934065935,6.470393595794097,133.1,20,26.599999999999998,3,39751.29175824176,28791.882857142857,1,Serbia,44.817777777,20.456944444
Belmopan,Autumn,1995,25.21098901098901,1.3184545287276086,387.0,67,0.0,0,42385.511208791206,30694.24241758242,0,Belize,17.25,-88.7675
Berlin,Autumn,1995,9.811538461538461,6.069615020388566,112.8,28,9.66,3,38524.43813186813,20848.12065934066,1,Germany,52.516666666,13.383333333
Bishkek,Autumn,1995,9.24945054945055,6.715386538496231,119.4,19,23.87,7,40007.212857142855,33270.35087912088,1,Kyrgyzstan,42.866666666,74.566666666
Bissau,Autumn,1995,27.750549450549453,0.9316501043696117,423.5,54,0.0,0,42779.50483516484,35629.685824175824,0,Guinea-Bissau,11.859166666,-15.595555555
Bogotá,Autumn,1995,14.657692307692306,0.7535811936245602,688.5,71,0.0,0,43288.724725274726,32768.30824175824,0,Colombia,4.60971,-74.08175
Brasília,Autumn,1995,22.97252747252747,1.6772209775608617,390.5,46,0.0,0,44757.93648351649,37971.20505494506,0,Brazil,-15.793888888,-47.882777777
Bratislava,Autumn,1995,9.85934065934066,5.909817218868918,164.2,22,8.19,4,39276.73054945055,23375.791538461537,1,Slovakia,48.144722222,17.112777777
Brazzaville,Autumn,1995,25.834615384615383,0.8184569596941531,287.9,51,0.0,0,43907.99197802198,32901.05626373627,0,Republic of the Congo,-4.269444444,15.271111111
Bridgetown,Autumn,1995,27.04340659340659,0.6099275362791888,414.4,52,0.0,0,42688.799670329674,36593.097692307696,0,Barbados,13.0975,-59.616666666
Bucharest,Autumn,1995,10.334065934065935,7.047556231776288,148.4,18,22.4,3,39807.655054945055,25611.03263736264,1,Romania,44.413361111,26.097777777
Budapest,Autumn,1995,10.27967032967033,6.2501865662020135,141.4,24,6.44,4,39372.532527472526,24868.840659340658,1,Hungary,47.498333333,19.040833333
Buenos Aires,Autumn,1995,17.053296703296702,3.9957185572518488,182.7,19,0.0,0,46486.566813186815,37212.607582417586,3,Argentina,-34.599722222,-58.381944444
Cairo,Autumn,1995,22.546153846153842,4.606180815969091,0.1,0,0.0,0,41350.5167032967,37794.71824175824,3,Egypt,30.044444444,31.235833333
Canberra,Autumn,1995,12.332967032967032,3.7916517932325116,318.7,30,0.0,0,46566.165274725274,34694.98527472527,0,Australia,-35.293055555,149.126944444
Castries,Autumn,1995,27.192857142857147,0.675753547636162,275.8,56,0.0,0,42622.81758241758,36646.00494505495,0,Saint Lucia,14.016666666,-60.983333333
Cetinje,Autumn,1995,9.87967032967033,5.215116798638669,523.9,28,2.59,0,40068.50736263736,29421.886813186815,4,Montenegro,42.389444444,18.924722222
Chișinău,Autumn,1995,8.942307692307692,6.962586217606705,152.3,16,17.78,4,39445.334285714285,24061.87175824176,1,Moldova,47.022777777,28.835277777
City of Brussels,Autumn,1995,12.123076923076924,4.367082090241261,120.7,23,0.0,0,38829.62406593407,23497.698241758244,4,Belgium,50.846666666,4.351666666
Commune of Monaco,Autumn,1995,15.486813186813187,3.254277827079947,221.3,26,0.42,0,39890.606373626375,31615.893406593405,4,Monaco,43.730555555,7.425277777
Conakry,Autumn,1995,26.290109890109893,0.6154591682556902,588.9,66,0.0,0,42944.142417582414,34730.10703296703,0,Guinea,9.509166666,-13.712222222
Copenhagen,Autumn,1995,9.562637362637362,5.23206244338477,164.8,26,8.33,2,37889.315604395604,18472.020769230767,1,Denmark,55.676111111,12.568888888
Dakar,Autumn,1995,27.970329670329672,0.8990111240807878,100.1,13,0.0,0,42576.88153846154,38313.174835164835,3,Senegal,14.672555555,-17.432
Dhaka,Autumn,1995,25.845054945054947,2.4651240102348595,521.5,55,0.0,0,41886.30054945055,28595.854835164835,0,Bangladesh,23.728888888,90.394444444
Djibouti City,Autumn,1995,29.16318681318681,2.506212671263551,12.3,4,0.0,0,42799.56703296703,38941.731098901095,3,Djibouti,11.595,43.148055555
Doha,Autumn,1995,28.253296703296705,3.786685755510883,0.0,0,0.0,0,41760.4810989011,38063.691208791206,3,Qatar,25.286205555,51.529436111
Dublin,Autumn,1995,11.76153846153846,2.869437390878383,242.7,41,0.0,0,38375.58791208791,21420.444395604394,4,Ireland,53.349722222,-6.260277777
Freetown,Autumn,1995,25.87912087912088,0.7093841591309186,719.6,80,0.0,0,43018.40417582417,34754.735384615386,0,Sierra Leone,8.487222222,-13.235555555
Gaborone,Autumn,1995,23.698901098901096,3.444560752693844,150.3,20,0.0,0,45493.29868131868,38482.78131868132,3,Botswana,-24.656944444,25.908611111
