capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Autumn,1999,25.30934065934066,1.5023853642330853,457.3,56,0.0,0,42978.14065934066,31762.49989010989,0,Nigeria
Accra,Autumn,1999,25.654945054945053,0.9799675432566087,111.1,30,0.0,0,43219.70010989011,36249.30934065934,3,Ghana
Addis Ababa,Autumn,1999,13.713736263736264,1.1562887455145734,471.3,44,0.0,0,42978.14065934066,38500.66164835165,3,Ethiopia
Algiers,Autumn,1999,20.256043956043957,5.072928341067117,161.9,22,0.0,0,40695.45736263736,33680.19527472527,1,Algeria
Alofi,Autumn,1999,24.57912087912088,0.8881024069474667,499.2,55,0.0,0,45022.373516483516,35155.102857142854,0,Niue
Amman,Autumn,1999,20.245604395604396,4.4280397490916945,0.6,0,0.0,0,41174.3732967033,37253.63692307692,4,Jordan
Amsterdam,Autumn,1999,12.107692307692307,4.964305496222917,146.7,32,0.63,0,38558.11032967033,22165.117142857143,1,Kingdom of the Netherlands
Andorra la Vella,Autumn,1999,9.902197802197803,6.618571984650095,239.7,18,3.8499999999999996,1,40046.998351648355,32072.63912087912,1,Andorra
Antananarivo,Autumn,1999,18.20824175824176,2.008222870216126,96.1,14,0.0,0,45005.21769230769,37842.092307692306,3,Madagascar
Apia,Autumn,1999,25.888461538461538,0.5546308543665643,744.7,76,0.0,0,44607.49,37319.32736263736,0,Samoa
Asmara,Autumn,1999,16.825274725274724,1.4827971620175942,76.4,26,0.0,0,42524.36989010989,38451.639560439566,3,Eritrea
Astana,Autumn,1999,4.359340659340659,11.236537406771395,34.5,12,30.87,11,38774.8634065934,21927.982967032967,2,Kazakhstan
Asunción,Autumn,1999,24.485164835164838,4.279476178391037,223.9,18,0.0,0,45552.18648351649,37062.9721978022,3,Paraguay
Athens,Autumn,1999,19.125824175824178,4.638440606241637,124.3,14,0.0,0,40568.16736263736,32707.57186813187,1,Greece
Avarua,Autumn,1999,23.213186813186812,1.1585152174906912,232.4,26,0.0,0,45196.93637362638,35198.73967032967,3,Cook Islands
Baghdad,Autumn,1999,26.828021978021976,7.008091390160727,8.0,1,0.0,0,41047.92769230769,37304.41483516483,4,Iraq
Baku,Autumn,1999,16.341758241758242,5.929410049988411,123.7,21,4.55,2,40300.26417582417,27529.07230769231,1,Azerbaijan
Bamako,Autumn,1999,26.085164835164836,0.8945667637184486,257.3,34,0.0,0,42723.17648351649,36787.43758241758,3,Mali
Bandar Seri Begawan,Autumn,1999,26.604945054945055,0.5727155074756171,551.7,68,0.0,0,43268.76395604396,35507.10736263736,0,Brunei
Bangui,Autumn,1999,25.697252747252744,0.8148061336348873,550.9,69,0.0,0,43303.081978021975,33431.624175824174,0,Central African Republic
Basseterre,Autumn,1999,26.394505494505495,0.6578352778220797,635.4,63,0.0,0,42378.90406593407,35321.21527472528,0,Saint Kitts and Nevis
Beijing,Autumn,1999,13.285714285714286,7.723309903986491,98.3,16,0.28,0,40356.97978021978,29910.841208791207,1,People's Republic of China
Beirut,Autumn,1999,21.765934065934065,3.881944523623861,25.9,6,0.0,0,40986.6823076923,36891.21395604396,4,Lebanon
Belgrade,Autumn,1999,12.648351648351648,6.9055269754235855,137.0,24,12.25,3,39746.833846153844,25598.4410989011,2,Serbia
Belmopan,Autumn,1999,24.43076923076923,2.1222730114296686,573.5,64,0.0,0,42384.14351648352,31334.63450549451,0,Belize
Berlin,Autumn,1999,10.868681318681318,6.6459246006341175,75.9,17,4.76,3,38518.49164835165,20623.11021978022,2,Germany
Bishkek,Autumn,1999,9.48021978021978,7.011331618335497,154.3,25,22.68,6,40003.06186813187,30739.81923076923,2,Kyrgyzstan
Bissau,Autumn,1999,27.057692307692307,1.055696796668307,529.9,58,0.0,0,42778.584725274726,34310.92989010989,0,Guinea-Bissau
Bogotá,Autumn,1999,14.076923076923077,0.6526572902079134,833.6,76,0.0,0,43288.37604395604,33477.0967032967,0,Colombia
Brasília,Autumn,1999,22.456593406593406,1.7019957042511502,486.6,53,0.0,0,44759.19626373626,36817.40186813186,0,Brazil
Bratislava,Autumn,1999,10.932967032967033,6.789371676787753,105.8,15,10.08,3,39271.69934065934,24267.09967032967,2,Slovakia
Brazzaville,Autumn,1999,25.5021978021978,0.8854663582263708,306.4,45,0.0,0,43908.327802197804,32298.997472527473,0,Republic of the Congo
Bridgetown,Autumn,1999,26.95054945054945,0.6166889412866499,430.1,61,0.0,0,42687.776923076926,36064.28417582418,0,Barbados
Bucharest,Autumn,1999,12.021428571428572,6.32291750019607,225.3,21,1.96,0,39803.2654945055,25666.405604395604,1,Romania
Budapest,Autumn,1999,11.353846153846154,7.459215891057298,110.0,17,31.43,7,39367.616703296706,24231.07967032967,2,Hungary
Buenos Aires,Autumn,1999,16.86758241758242,3.703462146172398,146.3,16,0.0,0,46489.66197802198,36163.359010989014,3,Argentina
Cairo,Autumn,1999,23.89835164835165,3.5648472816708616,0.0,0,0.0,0,41347.9556043956,37701.9189010989,4,Egypt
Canberra,Autumn,1999,12.276373626373628,2.9332702707173914,226.3,28,0.0,0,46569.3432967033,36697.464395604395,3,Australia
Castries,Autumn,1999,27.367582417582415,0.7581546905470766,272.1,57,0.0,0,42621.72054945055,36894.12692307692,0,Saint Lucia
Cetinje,Autumn,1999,12.409340659340659,4.709027453778494,669.9,34,2.1,0,40064.42857142857,28648.26791208791,1,Montenegro
Chișinău,Autumn,1999,10.666483516483517,7.6344688200040585,87.8,15,4.34,1,39440.506703296705,24373.59153846154,1,Moldova
City of Brussels,Autumn,1999,11.852747252747251,5.581160585384859,111.1,27,0.49,0,38824.05043956044,23150.49021978022,1,Belgium
Commune of Monaco,Autumn,1999,15.814835164835166,4.70954995788991,372.40000000000003,31,2.1,0,39886.315604395604,29917.940549450548,1,Monaco
Conakry,Autumn,1999,25.82912087912088,0.7248013495689684,675.5,76,0.0,0,42943.4078021978,34010.08703296703,0,Guinea
Copenhagen,Autumn,1999,10.36923076923077,5.218645893070822,100.6,27,0.56,0,37882.58593406593,22041.990769230768,1,Denmark
Dakar,Autumn,1999,27.046703296703296,0.8826979538073487,119.8,16,0.0,0,42575.73351648352,37660.85472527472,3,Senegal
Dhaka,Autumn,1999,25.624175824175826,2.4174523164016435,431.8,48,0.0,0,41884.36010989011,30107.662857142856,0,Bangladesh
Djibouti City,Autumn,1999,29.503296703296705,2.8777865934873694,49.8,12,0.0,0,42798.669560439565,38701.18769230769,3,Djibouti
Doha,Autumn,1999,29.45934065934066,3.8775988567376114,0.0,0,0.0,0,41758.39648351649,38099.43912087912,4,Qatar
Dublin,Autumn,1999,11.4989010989011,3.198367448332716,201.8,31,0.0,0,38369.458021978025,21710.624175824178,1,Ireland
Freetown,Autumn,1999,25.459890109890107,0.7980608365914826,1004.8,85,0.0,0,43017.75450549451,33646.049999999996,0,Sierra Leone
Gaborone,Autumn,1999,22.215384615384615,3.5385628933830415,83.9,15,0.0,0,45495.34516483517,39162.82384615385,3,Botswana
