capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,Spring,2002,28.853804347826088,1.0482647538988448,146.7,25,0.0,0,44326.66782608696,36987.61326086956,3,Nigeria,9.055555555,7.491388888
Accra,Spring,2002,28.233695652173914,0.6606735114805965,162.5,26,0.0,0,44049.81630434783,38550.935326086954,3,Ghana,5.55602,-0.1969
Addis Ababa,Spring,2002,17.294565217391302,1.0401145467808937,427.9,36,0.0,0,44326.66782608696,39213.84652173913,3,Ethiopia,9.027222222,38.736944444
Algiers,Spring,2002,16.252173913043478,3.1721133199299225,90.9,22,0.0,0,47097.15163043478,41850.40597826087,3,Algeria,36.776388888,3.058611111
Alofi,Spring,2002,26.40869565217391,0.873530436125743,447.5,48,0.0,0,42085.760652173914,35713.31195652174,4,Niue,-19.056,-169.921
Amman,Spring,2002,15.913586956521739,4.1062275356795634,58.3,13,0.0,0,46495.25043478261,40634.31478260869,3,Jordan,31.95,35.933333333
Amsterdam,Spring,2002,9.773369565217392,3.381676961318435,157.3,37,0.28,0,49878.89293478261,33666.70978260869,2,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Spring,2002,8.535326086956522,3.601369840444555,265.0,35,21.21,5,47925.99913043478,36980.52836956522,0,Andorra,42.507222222,1.522222222
Antananarivo,Spring,2002,18.621195652173913,1.845580311602365,215.2,26,0.0,0,42103.68673913043,33329.547391304346,3,Madagascar,-18.91,47.525
Apia,Spring,2002,26.90108695652174,0.6441187122203434,735.0,74,0.0,0,42522.99630434783,35034.792934782614,4,Samoa,-13.833333333,-171.833333333
Asmara,Spring,2002,18.3625,1.8065604651618261,81.3,17,0.0,0,44855.82608695652,40815.38434782608,3,Eritrea,15.333333333,38.916666666
Astana,Spring,2002,5.096739130434782,5.723672667992127,84.4,21,10.43,3,49590.724347826086,34194.12163043478,0,Kazakhstan,51.133333333,71.433333333
Asunción,Spring,2002,25.01684782608696,3.9173134798820435,468.6,35,0.0,0,41538.146413043476,28856.500760869563,4,Paraguay,-25.28,-57.634444444
Athens,Spring,2002,15.30054347826087,3.754795428831587,152.8,21,0.0,0,47258.65554347826,38929.98826086956,2,Greece,37.984166666,23.728055555
Avarua,Spring,2002,25.514673913043477,1.3517294181792947,483.0,36,0.0,0,41904.07423913044,34752.103586956524,4,Cook Islands,-21.207,-159.771
Baghdad,Spring,2002,24.353804347826088,5.253608041699068,46.0,6,0.0,0,46653.24989130435,40587.94586956522,1,Iraq,33.315277777,44.366111111
Baku,Spring,2002,12.265760869565218,3.413933387305249,119.2,26,0.91,0,47600.51641304348,31950.501413043476,2,Azerbaijan,40.366655555,49.835183333
Bamako,Spring,2002,32.37826086956522,1.5387718869963205,26.0,9,0.0,0,44622.541304347826,39873.24358695652,1,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,Spring,2002,28.132608695652173,0.6084765150555153,270.8,47,0.0,0,43993.997826086954,38709.50706521739,3,Brunei,4.916666666,114.916666666
Bangui,Spring,2002,28.046739130434784,0.886244215958623,275.7,36,0.0,0,43955.037826086955,37332.516304347824,3,Central African Republic,4.37325,18.562833333
Basseterre,Spring,2002,25.35108695652174,0.7425815625039797,86.7,31,0.0,0,45027.92489130435,41414.761847826085,3,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,Spring,2002,15.26195652173913,6.643746003959048,43.6,10,0.07,0,47527.929021739124,36769.56141304348,2,People's Republic of China,39.90403,116.407526
Beirut,Spring,2002,16.858152173913044,3.0965531810324585,212.79999999999998,24,0.0,0,46730.02010869565,41222.12565217391,3,Lebanon,33.886944444,35.513055555
Belgrade,Spring,2002,13.51141304347826,5.206141255534203,162.7,30,0.28,0,48314.47282608696,36156.474347826086,2,Serbia,44.817777777,20.456944444
Belmopan,Spring,2002,26.59619565217391,1.656310504939245,142.6,39,0.0,0,45021.704673913046,39292.77402173913,3,Belize,17.25,-88.7675
Berlin,Spring,2002,9.482608695652173,4.921562976424519,202.4,36,1.61,0,49931.70054347826,28665.330108695653,2,Germany,52.516666666,13.383333333
Bishkek,Spring,2002,9.017934782608695,4.8046485133003545,515.6,51,17.15,6,47982.68336956522,34953.99717391305,0,Kyrgyzstan,42.866666666,74.566666666
