capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Spring,2003,29.42228260869565,1.3162418222497188,126.1,21,0.0,0,44320.48434782609,37688.00945652174,3,Nigeria
Accra,Spring,2003,28.13804347826087,0.8236000297947269,193.4,34,0.0,0,44045.986086956524,37656.42532608695,3,Ghana
Addis Ababa,Spring,2003,17.190760869565217,0.9278928434907949,290.1,27,0.0,0,44320.48434782609,39562.11760869565,3,Ethiopia
Algiers,Spring,2003,15.729891304347827,2.675120001237786,187.2,22,0.0,0,47067.90847826087,39362.68836956522,3,Algeria
Alofi,Spring,2003,26.28478260869565,0.8020488574919287,486.2,44,0.0,0,42099.00054347826,35069.24206521739,4,Niue
Amman,Spring,2003,16.04945652173913,6.347784482262585,65.0,15,0.0,0,46470.967826086955,40857.3377173913,2,Jordan
Amsterdam,Spring,2003,9.879347826086956,3.9222467222518023,158.7,30,0.21000000000000002,0,49826.68163043478,35029.268152173914,2,Kingdom of the Netherlands
Andorra la Vella,Spring,2003,9.08804347826087,4.338869615066856,191.20000000000002,28,9.17,3,47889.93673913043,39156.136847826085,2,Andorra
Antananarivo,Spring,2003,19.469565217391306,1.2806453670472233,230.7,26,0.0,0,42116.768369565216,34300.4702173913,3,Madagascar
Apia,Spring,2003,26.771195652173912,0.5717831034085612,913.4,84,0.0,0,42532.37586956522,34591.404565217395,4,Samoa
Asmara,Spring,2003,18.395652173913046,1.2929150166677208,130.1,28,0.0,0,44845.17815217392,40646.23739130435,3,Eritrea
Astana,Spring,2003,3.5244565217391304,10.778258270691849,51.4,8,16.31,5,49540.9127173913,37114.65956521739,0,Kazakhstan
Asunción,Spring,2003,23.334782608695654,3.9716560274743498,270.0,18,0.0,0,41556.269782608695,32953.92,3,Paraguay
Athens,Spring,2003,14.065217391304348,5.598090035014956,139.7,18,1.19,1,47228.08380434783,38655.1175,2,Greece
Avarua,Spring,2003,25.270108695652173,0.8413770692565894,455.8,50,0.0,0,41918.928695652176,32350.500652173912,4,Cook Islands
Baghdad,Spring,2003,24.30923913043478,6.721533092012818,20.3,6,0.0,0,46627.66402173913,40377.65239130435,1,Iraq
Baku,Spring,2003,10.652173913043478,5.573711416859763,107.8,22,9.8,3,47567.131630434786,32267.72684782609,0,Azerbaijan
Bamako,Spring,2003,32.44945652173913,1.3945044132337594,18.1,6,0.0,0,44613.85652173913,39368.126304347825,1,Mali
Bandar Seri Begawan,Spring,2003,28.305434782608696,0.7849706553533622,334.0,44,0.0,0,43990.643152173914,36935.29,4,Brunei
Bangui,Spring,2003,27.833152173913046,0.861836691075017,287.9,52,0.0,0,43952.015326086956,36594.45130434783,4,Central African Republic
Basseterre,Spring,2003,25.805434782608696,0.6326056581922687,75.1,25,0.0,0,45015.833260869564,41430.94239130435,3,Saint Kitts and Nevis
Beijing,Spring,2003,14.233152173913044,7.491857401021991,91.6,17,4.97,2,47495.14119565218,33514.515326086956,2,People's Republic of China
Beirut,Spring,2003,17.30054347826087,5.411010826354352,256.3,25,0.07,0,46703.800217391305,41004.47989130435,2,Lebanon
Belgrade,Spring,2003,12.404347826086957,7.582674917906912,84.7,22,0.98,0,48275.2125,37601.78717391304,2,Serbia
