capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,Summer,2009,24.926086956521736,0.9562540888620353,834.6,78,0.0,0,45160.77097826087,26520.917826086956,0,Nigeria,9.055555555,7.491388888
Accra,Summer,2009,25.00597826086957,0.8464159211700399,390.7,43,0.0,0,44568.49652173913,30581.271195652174,0,Ghana,5.55602,-0.1969
Addis Ababa,Summer,2009,16.365760869565218,1.4213816476731738,965.9,75,0.0,0,45160.77097826087,36459.90913043478,0,Ethiopia,9.027222222,38.736944444
Algiers,Summer,2009,26.023369565217394,2.479946506501192,4.6,2,0.0,0,51046.674999999996,46292.58652173913,1,Algeria,36.776388888,3.058611111
Alofi,Summer,2009,23.46358695652174,1.0643344734980396,243.6,25,0.0,0,40316.543913043475,30516.96293478261,0,Niue,-19.056,-169.921
Amman,Summer,2009,25.599456521739132,1.6898126329130707,0.0,0,0.0,0,49769.253586956525,45883.34652173913,1,Jordan,31.95,35.933333333
Amsterdam,Summer,2009,17.047826086956523,2.6984215272363676,219.1,37,0.0,0,57027.980434782614,42595.873260869565,4,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Summer,2009,19.884239130434782,2.94959421075549,162.20000000000002,23,0.0,0,52811.469891304354,46414.81695652174,4,Andorra,42.507222222,1.522222222
Antananarivo,Summer,2009,15.165217391304349,1.8327865521190077,7.1000000000000005,2,0.0,0,40355.80847826087,28960.518913043477,3,Madagascar,-18.91,47.525
Apia,Summer,2009,25.842934782608697,0.6643009017061813,360.8,57,0.0,0,41271.708260869564,36700.433586956526,0,Samoa,-13.833333333,-171.833333333
Asmara,Summer,2009,19.246195652173913,1.498795004926988,848.8,62,0.0,0,46289.27826086956,37952.429673913044,0,Eritrea,15.333333333,38.916666666
Astana,Summer,2009,18.34130434782609,3.203951961264523,151.9,27,0.0,0,56398.29684782608,44179.38673913044,4,Kazakhstan,51.133333333,71.433333333
Asunción,Summer,2009,16.994565217391305,4.584184808484198,246.6,21,0.0,0,39112.66130434782,28213.88086956522,3,Paraguay,-25.28,-57.634444444
Athens,Summer,2009,26.52771739130435,1.8058568349306214,21.1,5,0.0,0,51389.89760869565,46698.89054347826,1,Greece,37.984166666,23.728055555
Avarua,Summer,2009,22.48804347826087,1.2920162615334558,362.7,31,0.0,0,39918.06858695652,28758.715217391302,0,Cook Islands,-21.207,-159.771
Baghdad,Summer,2009,36.62282608695652,1.8721852578608638,0.2,0,0.0,0,50104.38510869565,45466.467065217395,1,Iraq,33.315277777,44.366111111
Baku,Summer,2009,24.72826086956522,2.494910251285297,27.8,5,0.0,0,52117.35815217392,44448.38652173913,1,Azerbaijan,40.366655555,49.835183333
Bamako,Summer,2009,27.368478260869566,1.7123295197296549,559.0,53,0.0,0,45792.28206521739,37698.185760869565,0,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,Summer,2009,27.87826086956522,0.9024479634879963,357.9,56,0.0,0,44448.907499999994,36253.35152173913,0,Brunei,4.916666666,114.916666666
Bangui,Summer,2009,26.45434782608696,1.1475883018986228,394.6,51,0.0,0,44365.40054347826,33798.695543478265,0,Central African Republic,4.37325,18.562833333
Basseterre,Summer,2009,26.91358695652174,0.5942537688614332,209.2,38,0.0,0,46655.47217391305,42199.191086956525,0,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,Summer,2009,26.033152173913045,2.813109784190321,338.3,30,0.0,0,51962.77315217391,37568.274239130435,4,People's Republic of China,39.90403,116.407526
Beirut,Summer,2009,25.992391304347827,1.4378504786814352,5.7,2,0.0,0,50267.25989130435,46046.35815217392,1,Lebanon,33.886944444,35.513055555
Belgrade,Summer,2009,22.348369565217393,2.98330934954917,207.5,28,0.0,0,53642.3322826087,42907.67347826087,4,Serbia,44.817777777,20.456944444
Belmopan,Summer,2009,27.821195652173916,0.9382656930476142,268.5,63,0.0,0,46642.242608695655,38237.68695652174,0,Belize,17.25,-88.7675
Berlin,Summer,2009,18.29891304347826,3.008011082704677,201.1,37,0.0,0,57143.73554347826,41880.17597826087,4,Germany,52.516666666,13.383333333
Bishkek,Summer,2009,20.225,2.5863281707071515,70.4,12,0.0,0,52932.52760869565,45900.53065217392,4,Kyrgyzstan,42.866666666,74.566666666
Bissau,Summer,2009,27.23641304347826,1.119976041268209,770.7,71,0.0,0,45654.484673913044,33699.343260869566,0,Guinea-Bissau,11.859166666,-15.595555555
Bogotá,Summer,2009,15.845652173913043,1.0222968154046221,101.1,21,0.0,0,44401.16967391304,32129.852826086957,3,Colombia,4.60971,-74.08175
Brasília,Summer,2009,20.753804347826087,1.2854689505538572,41.5,8,0.0,0,40921.047391304346,36322.48782608695,3,Brazil,-15.793888888,-47.882777777
Bratislava,Summer,2009,20.22717391304348,2.83499920580137,283.7,30,0.0,0,54976.46684782609,41561.48739130435,4,Slovakia,48.144722222,17.112777777
Brazzaville,Summer,2009,24.519021739130434,0.6120063559653585,3.1,1,0.0,0,42911.191413043474,30331.110217391306,3,Republic of the Congo,-4.269444444,15.271111111
Bridgetown,Summer,2009,27.220652173913045,0.5039488120435021,309.4,49,0.0,0,45880.483260869565,40910.12641304348,0,Barbados,13.0975,-59.616666666
Bucharest,Summer,2009,23.10108695652174,2.175020250769302,200.0,23,0.0,0,53485.43771739131,45325.92717391304,4,Romania,44.413361111,26.097777777
Budapest,Summer,2009,21.432608695652174,3.123294565694912,179.1,30,0.0,0,54705.20141304348,42979.849565217395,4,Hungary,47.498333333,19.040833333
Buenos Aires,Summer,2009,11.385326086956523,3.864295125320494,143.0,10,0.0,0,37015.75010869565,29173.633152173912,3,Argentina,-34.599722222,-58.381944444
Cairo,Summer,2009,28.82282608695652,1.3371162393575766,0.0,0,0.0,0,49311.715434782614,44844.02173913043,1,Egypt,30.044444444,31.235833333
Canberra,Summer,2009,7.155434782608695,2.0702956273708693,122.0,26,0.0,0,36839.01336956522,27065.613152173915,3,Australia,-35.293055555,149.126944444
Castries,Summer,2009,27.642391304347825,0.5616368729583305,216.2,50,0.0,0,46045.40815217391,41313.35597826087,0,Saint Lucia,14.016666666,-60.983333333
Cetinje,Summer,2009,19.68858695652174,2.6989324635686827,363.9,38,0.0,0,52763.498695652175,44665.927065217395,4,Montenegro,42.389444444,18.924722222
Chișinău,Summer,2009,22.38532608695652,2.7614251978404263,88.1,16,0.0,0,54499.72869565217,44993.83902173913,4,Moldova,47.022777777,28.835277777
City of Brussels,Summer,2009,17.743478260869566,2.8960015765517713,154.6,28,0.0,0,56256.23543478261,42008.823913043474,4,Belgium,50.846666666,4.351666666
Commune of Monaco,Summer,2009,22.69076086956522,2.1724034563941133,66.7,18,0.0,0,53255.12260869565,47239.0047826087,4,Monaco,43.730555555,7.425277777
Conakry,Summer,2009,25.819021739130434,0.8404225255787967,1455.7,86,0.0,0,45246.414239130434,29247.65858695652,0,Guinea,9.509166666,-13.712222222
Copenhagen,Summer,2009,16.59891304347826,2.845982113464113,252.8,35,0.0,0,59032.44293478261,43494.00510869565,4,Denmark,55.676111111,12.568888888
Dakar,Summer,2009,26.94347826086957,1.1385651610232221,167.3,30,0.0,0,46160.49086956522,39549.445108695654,0,Senegal,14.672555555,-17.432
Dhaka,Summer,2009,28.728804347826088,1.1639793835182877,925.1,77,0.0,0,47916.44217391304,28473.575,0,Bangladesh,23.728888888,90.394444444
Djibouti City,Summer,2009,34.05380434782609,1.704022933854405,13.9,4,0.0,0,45604.61086956522,38860.26347826087,1,Djibouti,11.595,43.148055555
Doha,Summer,2009,34.723369565217396,1.5534691961025096,0.0,0,0.0,0,48241.541739130436,44091.36967391305,1,Qatar,25.286205555,51.529436111
Dublin,Summer,2009,15.077717391304349,1.6752950229019816,308.3,51,0.0,0,57581.07000000001,37071.107826086954,4,Ireland,53.349722222,-6.260277777
Freetown,Summer,2009,25.34891304347826,0.8199764892391218,1611.3,88,0.0,0,45063.24489130435,30550.632934782607,0,Sierra Leone,8.487222222,-13.235555555
Gaborone,Summer,2009,13.077717391304349,2.848320925576827,79.7,6,0.0,0,39241.06717391305,34191.603369565215,3,Botswana,-24.656944444,25.908611111
Georgetown,Summer,2009,26.47228260869565,0.838803573989868,570.5,75,0.0,0,44772.69619565217,37678.35913043479,0,Guyana,6.805833333,-58.150833333
Gibraltar,Summer,2009,24.10054347826087,2.2142581741579153,1.9,1,0.0,0,50869.97380434782,46119.89652173914,1,Gibraltar,36.14,-5.35
Gitega,Summer,2009,19.555434782608696,1.2159077584334426,17.6,4,0.0,0,43052.97543478261,38170.68978260869,3,Burundi,-3.428333333,29.925
Guatemala City,Summer,2009,19.8375,0.7048741217214093,759.8,73,0.0,0,46160.49086956522,37632.07858695652,0,Guatemala,14.641666666,-90.513333333
Havana,Summer,2009,29.129347826086956,1.120173460221338,233.9,48,0.0,0,47800.42847826087,42970.71510869565,0,Cuba,23.136666666,-82.358888888
Helsinki,Summer,2009,15.56413043478261,2.8866148668281353,249.8,33,0.0,0,62709.97869565217,44531.99043478261,4,Finland,60.170833333,24.9375
Honiara,Summer,2009,26.615760869565218,0.5323042047213892,562.5,80,0.0,0,42029.22543478261,33781.7102173913,0,Solomon Islands,-9.433333,159.95
Islamabad,Summer,2009,29.412499999999998,2.2858694573015694,209.20000000000002,29,0.0,0,50212.6627173913,43749.354239130436,4,Pakistan,33.698888888,73.036944444
Jakarta,Summer,2009,26.976630434782606,0.6146763236043936,113.7,23,0.0,0,42591.23902173913,38710.656739130434,0,Indonesia,-6.175277777,106.826944444
Jerusalem,Summer,2009,25.48641304347826,1.4321486060175856,0.5,0,0.0,0,49734.63413043478,45467.064021739134,1,Israel,31.778888888,35.225555555
Kabul,Summer,2009,23.712500000000002,3.2617802140602836,4.1,1,0.0,0,50432.94282608696,45767.79347826087,1,Afghanistan,34.532777777,69.165833333
Kathmandu,Summer,2009,21.90108695652174,1.0088612408772992,1775.7,83,0.0,0,48778.97108695652,26987.871847826085,0,Nepal,27.71,85.32
Kigali,Summer,2009,20.01195652173913,1.0393195567033355,22.7,6,0.0,0,43300.748260869565,35061.228804347826,3,Rwanda,-1.953611111,30.060555555
Kingston,Summer,2009,27.97391304347826,0.9001977273907272,173.2,33,0.0,0,46775.07217391304,41212.087608695656,0,Jamaica,17.971388888,-76.793055555
Kingstown,Summer,2009,27.445108695652173,0.5122166749739376,308.8,50,0.0,0,45893.11749999999,40834.073913043474,0,Saint Vincent and the Grenadines,13.15527,-61.22742
Kinshasa,Summer,2009,24.719021739130437,0.6120063559653582,3.1,1,0.0,0,42899.367173913044,30332.49347826087,3,Democratic Republic of the Congo,-4.321944444,15.311944444
Kuala Lumpur,Summer,2009,27.130434782608695,0.8646271038239489,366.6,54,0.0,0,44151.34217391304,35354.42804347826,0,Malaysia,3.147777777,101.695277777
Kuwait City,Summer,2009,37.2070652173913,1.4446487371406052,1.7,0,0.0,0,49147.37271739131,43692.34097826087,1,Kuwait,29.375,47.98
La Paz,Summer,2009,7.872826086956521,1.3996548444911676,464.59999999999997,76,4.83,2,40794.2197826087,37458.62847826087,2,Bolivia,-16.495833333,-68.133333333
Libreville,Summer,2009,25.267934782608698,0.5930727176722973,56.4,14,0.0,0,43689.952608695654,33540.90163043478,0,Gabon,0.3901,9.4544
Lilongwe,Summer,2009,17.27880434782609,1.5110623890882706,1.1,0,0.0,0,41246.86369565217,35950.55706521739,3,Malawi,-13.983333333,33.783333333
Lima,Summer,2009,17.411956521739132,0.5722698954634069,1.6,0,0.0,0,41579.924239130436,38149.37554347826,3,Peru,-12.06,-77.0375
Lisbon,Summer,2009,22.097826086956523,2.374450926043981,32.4,8,0.0,0,51597.92054347826,45427.003152173915,4,Portugal,38.708042,-9.139016
Ljubljana,Summer,2009,19.332065217391303,2.8638479984694207,321.0,35,0.0,0,54130.16326086957,40621.838804347826,4,Slovenia,46.051388888,14.506111111
Lobamba,Summer,2009,14.186413043478263,2.3570574790166745,145.4,11,0.0,0,38866.25836956522,33079.4475,3,Eswatini,-26.44648,31.206411
Luanda,Summer,2009,23.946195652173916,0.9958218676393902,1.5,0,0.0,0,42137.49130434783,31945.46934782609,3,Angola,-8.838333333,13.234444444
Luxembourg,Summer,2009,16.833152173913046,3.013734833544301,165.5,31,0.0,0,55643.045978260874,41956.810543478256,4,Luxembourg,49.610555555,6.132777777
Majuro,Summer,2009,27.108695652173914,0.39471847636674506,704.5,74,0.0,0,44820.92456521739,36300.350760869565,0,Marshall Islands,7.0918,171.3802
Malabo,Summer,2009,25.569021739130434,0.6855591441892909,2450.7,92,0.0,0,44258.25826086956,24086.283804347826,0,Equatorial Guinea,3.752063888,8.7737
Malé,Summer,2009,27.043478260869566,0.6340267869382068,592.1,58,0.0,0,44329.65967391304,35835.19163043478,0,Maldives,4.175,73.508333333
Managua,Summer,2009,28.491304347826084,0.942017028603353,271.5,45,0.0,0,45704.48195652174,37605.172391304346,0,Nicaragua,12.156383333,-86.272986111
Manama,Summer,2009,32.735326086956526,1.6224648532991732,0.0,0,0.0,0,48453.37195652174,44069.418913043475,1,Bahrain,26.225,50.5775
Manila,Summer,2009,26.881521739130434,0.662318496443373,734.7,80,0.0,0,46147.666086956524,33323.578260869566,0,Philippines,14.595833333,120.977222222
Maputo,Summer,2009,19.40108695652174,1.729129525348635,35.1,6,0.0,0,38982.85891304348,34089.13989130435,3,Mozambique,-25.915277777,32.576388888
Maseru,Summer,2009,7.2250000000000005,3.1055736848588715,63.1,15,0.14,0,38264.41760869565,32450.448043478264,3,Lesotho,-29.31,27.48
Mexico City,Summer,2009,17.607608695652175,1.3646626355750173,977.7,86,0.0,0,47044.478369565215,38850.17315217391,0,Mexico,19.353773,-99.13589
Minsk,Summer,2009,16.20923913043478,2.8417407734532945,342.3,44,0.0,0,57912.666521739135,39594.45391304348,4,Belarus,53.902246,27.561837
Monrovia,Summer,2009,25.162499999999998,0.8264722128912272,1079.6,80,0.0,0,44688.46815217391,28261.86402173913,0,Liberia,6.310555555,-10.804722222
Moroni,Summer,2009,25.32554347826087,0.8826313856441063,102.1,32,0.0,0,41641.08336956522,38019.46586956522,0,Comoros,-11.703611111,43.253611111
Moscow,Summer,2009,16.880978260869565,3.1161652468500547,222.1,39,0.0,0,59128.10652173913,39778.126739130435,4,Russia,55.750555555,37.6175
Muscat,Summer,2009,32.81739130434782,1.3677493099499693,0.6,0,0.0,0,47887.33260869565,42477.921521739125,1,Oman,23.613888888,58.592222222
N'Djamena,Summer,2009,30.418478260869566,2.5468653151645384,231.0,37,0.0,0,45704.48195652174,38280.10369565217,0,Chad,12.11,15.05
Nairobi,Summer,2009,17.909782608695654,1.0261214484392016,22.0,4,0.0,0,43406.872826086954,34621.7822826087,3,Kenya,-1.286388888,36.817222222
Naypyidaw,Summer,2009,26.18913043478261,0.9500383476053419,845.7,84,0.0,0,47112.65456521739,25397.708152173913,0,Myanmar,19.7475,96.115
New Delhi,Summer,2009,32.40597826086957,2.4050067098134007,203.9,29,0.0,0,48985.60434782608,39067.48967391304,0,India,28.613888888,77.208888888
Ngerulmud,Summer,2009,26.678804347826084,0.5753276035524983,1047.6,78,0.0,0,44893.40934782609,30867.534673913044,0,Palau,7.500556,134.624167
Niamey,Summer,2009,31.041304347826088,1.9828468918361852,112.8,26,0.0,0,45956.417282608694,40514.01260869565,0,Niger,13.515,2.1175
Nicosia,Summer,2009,29.34891304347826,1.816060496960168,4.3,2,0.0,0,50601.55619565217,46867.48880434782,1,Cyprus,35.1725,33.365
Nouakchott,Summer,2009,28.886413043478264,2.3576634836731,3.8000000000000003,1,0.0,0,46801.78413043478,42533.83195652174,1,Mauritania,18.08581,-15.9785
Nuuk,Summer,2009,7.6875,2.873578243771504,92.8,18,2.38,1,67985.20630434783,41130.39902173913,2,Greenland,64.175,-51.733333333
Oranjestad,Summer,2009,27.54076086956522,0.4037549950581433,43.4,14,0.0,0,45779.71510869565,41659.271195652174,1,Aruba,12.518611111,-70.035833333
Oslo,Summer,2009,15.938586956521737,3.051797374029882,351.6,40,0.0,0,62501.608913043485,39334.70967391304,4,Norway,59.913333333,10.738888888
Ottawa,Summer,2009,18.819021739130434,3.3393330451357195,306.5,35,0.0,0,53882.93608695652,37071.22815217391,4,Canada,45.424722222,-75.695
