capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Summer,2023,24.89945652173913,0.8273980985435515,494.8,72,0.0,0,45165.62445652174,28178.375543478258,0,Nigeria
Accra,Summer,2023,25.669021739130436,0.6460293937153297,402.4,64,0.0,0,44571.524456521736,33106.86706521739,0,Ghana
Addis Ababa,Summer,2023,15.172826086956523,0.6045347427039802,823.0,82,0.0,0,45165.62445652174,35448.720108695656,0,Ethiopia
Algiers,Summer,2023,25.753804347826087,3.465617888041748,63.599999999999994,7,0.0,0,51069.70315217392,43344.16152173913,1,Algeria
Alofi,Summer,2023,24.07554347826087,0.9383318892335512,815.5,51,0.0,0,40306.337934782605,26893.841195652174,0,Niue
Amman,Summer,2023,26.144565217391307,2.7814876298952678,6.199999999999999,2,0.0,0,49788.30717391304,45259.93260869565,1,Jordan
Amsterdam,Summer,2023,17.798369565217392,2.44833932377403,237.9,42,0.0,0,57070.223152173916,41020.605652173916,4,Kingdom of the Netherlands
Andorra la Vella,Summer,2023,20.193478260869565,3.7736158760189116,218.8,37,0.0,0,52840.04663043479,45268.75326086956,4,Andorra
Antananarivo,Summer,2023,15.877717391304348,1.416821317078968,54.199999999999996,3,0.0,0,40345.72565217391,34136.8,3,Madagascar
Apia,Summer,2023,25.48315217391304,0.5906448875441426,210.9,46,0.0,0,41264.50184782608,36415.908804347826,0,Samoa
Asmara,Summer,2023,18.955434782608698,0.9823289360275892,157.7,31,0.0,0,46297.602934782604,38714.51945652174,3,Eritrea
Astana,Summer,2023,21.215217391304346,4.112275506618154,95.9,19,0.0,0,56438.453260869566,44843.40108695652,4,Kazakhstan
Asunción,Summer,2023,21.02228260869565,4.1648474249485785,187.8,16,0.0,0,39098.646630434785,30075.818586956524,3,Paraguay
Athens,Summer,2023,27.820108695652173,3.5610535219029793,77.3,12,0.0,0,51413.9979347826,45622.70304347826,1,Greece
Avarua,Summer,2023,23.560326086956525,1.0916651773926698,337.6,33,0.0,0,39906.606630434784,28348.27608695652,0,Cook Islands
Baghdad,Summer,2023,37.479891304347824,2.3973779149679872,0.0,0,0.0,0,50124.478586956524,43801.68097826087,1,Iraq
Baku,Summer,2023,26.305978260869566,2.471672948502162,32.1,8,0.0,0,52143.742173913044,43679.48130434782,1,Azerbaijan
Bamako,Summer,2023,28.07771739130435,1.8057046983702003,436.1,50,0.0,0,45799.07913043479,31365.987173913043,0,Mali
Bandar Seri Begawan,Summer,2023,27.428804347826084,0.8462013923791482,728.0,66,0.0,0,44451.56673913044,34358.80695652174,0,Brunei
Bangui,Summer,2023,26.232608695652175,1.0194114543844162,514.3,63,0.0,0,44367.80195652174,30511.835108695654,0,Central African Republic
Basseterre,Summer,2023,28.367391304347827,0.6235944539526315,213.5,48,0.0,0,46664.92391304348,40111.994456521745,0,Saint Kitts and Nevis
Beijing,Summer,2023,27.620652173913044,2.955216585040888,459.3,28,0.0,0,51988.670760869565,34943.213804347826,4,People's Republic of China
Beirut,Summer,2023,26.39891304347826,2.059819397034466,22.8,5,0.0,0,50287.85880434782,45208.18815217391,1,Lebanon
Belgrade,Summer,2023,22.718478260869563,3.2336037579237322,304.7,39,0.0,0,53673.549239130436,41855.450217391306,4,Serbia
Belmopan,Summer,2023,28.429347826086957,1.5076572353243918,470.6,65,0.0,0,46651.65304347826,37355.174239130436,0,Belize
Berlin,Summer,2023,19.557608695652174,2.8363509173790473,259.5,34,0.0,0,57186.36380434782,41177.67163043479,4,Germany
Bishkek,Summer,2023,24.657608695652176,3.225098471813006,72.9,18,0.0,0,52961.48684782609,43676.17934782609,4,Kyrgyzstan
Bissau,Summer,2023,27.245108695652174,1.1662153445284726,804.3,71,0.0,0,45660.8572826087,30210.394782608695,0,Guinea-Bissau
Bogotá,Summer,2023,12.637500000000001,0.6707640796505512,354.9,73,0.0,0,44403.681521739134,36753.84260869565,0,Colombia
Brasília,Summer,2023,21.054347826086957,1.866148000884177,58.8,5,0.0,0,40912.742391304346,37180.07586956522,3,Brazil
Bratislava,Summer,2023,21.65,3.2355681261412346,175.4,28,0.0,0,55011.974565217395,40080.29032608696,4,Slovakia
Brazzaville,Summer,2023,25.39782608695652,0.9077478786425927,17.1,3,0.0,0,42909.09380434782,34010.84706521739,3,Republic of the Congo
Bridgetown,Summer,2023,28.11521739130435,0.8103295737881949,338.1,65,0.0,0,45887.551630434784,37826.02032608696,0,Barbados
Bucharest,Summer,2023,24.467934782608697,3.2331947722431433,160.0,22,0.0,0,53516.15445652174,44651.18108695652,4,Romania
Budapest,Summer,2023,22.396195652173912,3.1909834656079106,246.8,29,0.0,0,54739.83163043478,42627.10847826087,4,Hungary
Buenos Aires,Summer,2023,12.28641304347826,3.786065423095574,132.5,21,0.0,0,36995.015543478265,26261.477282608696,3,Argentina
Cairo,Summer,2023,30.75,1.8507497738145824,0.5,0,0.0,0,49329.35206521739,44450.65434782609,1,Egypt
Canberra,Summer,2023,7.896195652173914,2.1128236626447165,68.0,15,0.0,0,36817.70630434783,26970.070869565217,3,Australia
Castries,Summer,2023,28.204891304347825,0.8860041110281146,375.8,66,0.0,0,46052.984239130434,38965.7775,0,Saint Lucia
Cetinje,Summer,2023,21.474456521739132,3.2886375695754193,390.2,40,0.0,0,52791.922173913044,44989.62586956522,4,Montenegro
Chișinău,Summer,2023,23.553804347826084,3.212845386535597,115.3,20,0.0,0,54533.696304347824,44129.12413043478,4,Moldova
City of Brussels,Summer,2023,18.732608695652175,2.4200221911457436,215.5,32,0.0,0,56295.92304347826,41101.60021739131,4,Belgium
Commune of Monaco,Summer,2023,24.416847826086954,2.661046612799132,126.3,18,0.0,0,53285.10576086957,45795.88652173913,4,Monaco
Conakry,Summer,2023,26.271195652173912,0.6210693408426576,2069.1,89,0.0,0,45251.53130434782,26574.58554347826,0,Guinea
Copenhagen,Summer,2023,16.82554347826087,1.7503923353806137,245.6,38,0.0,0,59081.45695652174,42602.23032608696,4,Denmark
Dakar,Summer,2023,27.120108695652174,1.220814441323223,364.4,24,0.0,0,46168.41945652174,35491.31434782608,0,Senegal
Dhaka,Summer,2023,29.7,1.4694321247443751,868.9,74,0.0,0,47929.77326086956,31041.10152173913,0,Bangladesh
Djibouti City,Summer,2023,36.84728260869565,2.013230471218751,9.6,4,0.0,0,45610.8302173913,37839.558913043475,1,Djibouti
Doha,Summer,2023,36.03967391304348,1.6338711874973415,0.0,0,0.0,0,48255.875,41922.99010869565,1,Qatar
Dublin,Summer,2023,16.088043478260868,1.9153424731096156,286.7,42,0.0,0,57625.16108695653,33783.568260869564,4,Ireland
Freetown,Summer,2023,25.692934782608695,0.698136511798766,1522.7,90,0.0,0,45067.79663043479,24010.94597826087,0,Sierra Leone
Gaborone,Summer,2023,15.370652173913042,2.9981968223216837,5.800000000000001,1,0.0,0,39227.460326086955,35132.44739130435,3,Botswana
Georgetown,Summer,2023,27.261413043478264,0.8570042141814158,724.0,75,0.0,0,44776.35369565217,39237.073369565216,0,Guyana
Gibraltar,Summer,2023,24.895108695652173,2.968387098421871,31.8,7,0.0,0,50892.449782608695,44301.00336956522,1,Gibraltar
Gitega,Summer,2023,19.1875,1.2394084241113743,5.0,2,0.0,0,43051.31815217391,37756.61934782609,3,Burundi
Guatemala City,Summer,2023,21.004347826086956,1.002569560599849,507.5,62,0.0,0,46168.41945652174,38367.611739130436,0,Guatemala
Havana,Summer,2023,29.130434782608695,1.1905755492857597,278.7,50,0.0,0,47813.40326086956,41522.074347826085,0,Cuba
Helsinki,Summer,2023,15.366847826086957,2.711243147554283,205.9,28,0.0,0,62772.007391304345,46146.561195652175,4,Finland
Honiara,Summer,2023,26.17228260869565,0.7446277973708046,590.6,59,0.0,0,42024.38532608696,30806.046413043478,0,Solomon Islands
Islamabad,Summer,2023,28.715760869565216,2.5090268827240965,427.59999999999997,46,0.0,0,50233.09195652174,39885.539673913045,4,Pakistan
Jakarta,Summer,2023,27.518478260869564,0.5974173992886104,226.3,43,0.0,0,42588.148043478264,37980.76989130435,0,Indonesia
Jerusalem,Summer,2023,24.392934782608698,2.689055775310902,6.2,2,0.0,0,49753.580652173914,44917.082282608695,1,Israel
Kabul,Summer,2023,23.968478260869563,2.1245777523771263,7.4,4,0.0,0,50454.05782608696,45760.62663043479,1,Afghanistan
Kathmandu,Summer,2023,23.534239130434784,0.6687666747567278,1584.8,82,0.0,0,48794.96065217391,32562.04554347826,0,Nepal
Kigali,Summer,2023,20.965760869565216,1.0003551388015701,21.599999999999998,2,0.0,0,43299.85793478261,36366.14847826087,3,Rwanda
Kingston,Summer,2023,28.52445652173913,0.8688597607227262,153.5,24,0.0,0,46784.892173913046,40217.04826086957,0,Jamaica
Kingstown,Summer,2023,27.80652173913043,0.7592367983743507,368.1,69,0.0,0,45900.224347826086,38781.46847826087,0,Saint Vincent and the Grenadines
Kinshasa,Summer,2023,25.97608695652174,0.8468259503331633,18.8,4,0.0,0,42897.23260869565,34430.7025,3,Democratic Republic of the Congo
Kuala Lumpur,Summer,2023,27.696739130434782,0.9612778911149945,687.0,64,0.0,0,44153.08239130435,32798.55380434783,0,Malaysia
Kuwait City,Summer,2023,38.216847826086955,1.771512626987921,0.0,0,0.0,0,49164.501739130435,43126.54336956522,1,Kuwait
