capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,Winter,1997,27.604999999999997,0.9484478745753594,11.0,4,0.0,0,42118.02988888889,38974.015999999996,3,Nigeria,9.055555555,7.491388888
Accra,Winter,1997,27.451666666666668,0.5791047915106231,71.8,16,0.0,0,42696.26144444444,37703.82444444445,3,Ghana,5.55602,-0.1969
Addis Ababa,Winter,1997,15.613333333333333,0.8017466886797785,24.8,7,0.0,0,42118.02988888889,38930.042,3,Ethiopia,9.027222222,38.736944444
Algiers,Winter,1997,12.891666666666667,1.5738603867096768,141.2,24,0.0,0,36537.67455555555,29443.075777777776,0,Algeria,36.776388888,3.058611111
Alofi,Winter,1997,26.025555555555556,0.6302863824050075,253.5,38,0.0,0,46952.56988888889,41593.341222222225,2,Niue,-19.056,-169.921
Amman,Winter,1997,8.872222222222222,2.9482341992933065,124.5,24,0.49,0,37726.42188888889,30722.473555555556,0,Jordan,31.95,35.933333333
Amsterdam,Winter,1997,3.227222222222222,4.581258604303039,149.3,29,0.21000000000000002,0,31102.528777777778,13445.008333333333,4,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Winter,1997,2.53,3.1673172996093224,199.0,19,69.58,11,34912.22377777778,25217.172666666665,4,Andorra,42.507222222,1.522222222
Antananarivo,Winter,1997,20.15111111111111,0.9969892254209659,740.9,65,0.0,0,46912.43522222222,34008.47655555556,2,Madagascar,-18.91,47.525
Apia,Winter,1997,26.31277777777778,0.7068112088060596,1011.6,77,0.0,0,45980.45366666667,34773.22677777778,2,Samoa,-13.833333333,-171.833333333
Asmara,Winter,1997,15.162777777777778,1.0190478346909257,8.5,3,0.0,0,41025.710222222224,38047.275,3,Eritrea,15.333333333,38.916666666
Astana,Winter,1997,-13.682777777777778,6.571166849980841,0.1,0,51.45,17,31664.75455555556,15178.71,1,Kazakhstan,51.133333333,71.433333333
Asunción,Winter,1997,27.606666666666666,1.9093383759061318,498.3,44,0.0,0,48190.11388888889,37899.34911111111,2,Paraguay,-25.28,-57.634444444
Athens,Winter,1997,9.295,2.4484580105065064,171.1,14,0.0,0,36220.06933333333,25746.453222222222,0,Greece,37.984166666,23.728055555
Avarua,Winter,1997,25.351666666666667,1.0660873016931873,416.59999999999997,25,0.0,0,47360.708,40786.54777777778,2,Cook Islands,-21.207,-159.771
