capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Winter,2019,27.50111111111111,1.000308317014628,32.0,5,0.0,0,42113.78088888888,37459.916333333334,0,Nigeria
Accra,Winter,2019,28.255,0.5408612565865725,87.7,27,0.0,0,42693.685666666664,35257.00688888889,0,Ghana
Addis Ababa,Winter,2019,15.455,1.2240807144570243,12.0,5,0.0,0,42113.78088888888,38017.14122222222,3,Ethiopia
Algiers,Winter,2019,12.999444444444444,2.015703719707572,255.1,23,0.0,0,36516.933000000005,29652.04811111111,0,Algeria
Alofi,Winter,2019,26.67388888888889,0.705883293095013,794.7,53,0.0,0,46962.214111111105,33197.50088888889,2,Niue
Amman,Winter,2019,9.495555555555557,2.2894192929924597,246.5,31,1.19,0,37709.25244444445,30977.728222222224,0,Jordan
Amsterdam,Winter,2019,5.232777777777778,2.9050339988255014,174.9,36,5.67,3,31064.90566666667,14576.580444444444,4,Kingdom of the Netherlands
Andorra la Vella,Winter,2019,4.787222222222223,3.4697291374314903,84.8,10,149.59,19,34886.53433333333,25796.21177777778,1,Andorra
Antananarivo,Winter,2019,21.4,0.9187803346669906,778.6,66,0.0,0,46921.962999999996,35221.20855555555,2,Madagascar
Apia,Winter,2019,25.923333333333332,0.6443444539071468,1616.1,83,0.0,0,45987.31555555556,29103.233555555555,2,Samoa
Asmara,Winter,2019,15.756666666666666,1.7059743006876542,70.5,13,0.0,0,41018.28322222223,37859.60755555556,0,Eritrea
Astana,Winter,2019,-11.456111111111111,6.929325517129864,1.0,0,44.87,15,31628.925333333333,12870.07888888889,1,Kazakhstan
Asunción,Winter,2019,27.736666666666668,2.871369715822716,372.6,27,0.0,0,48203.30066666666,38588.26577777778,0,Paraguay
Athens,Winter,2019,9.556111111111111,3.1718816215652614,341.4,35,7.5600000000000005,1,36198.365666666665,24336.836666666666,4,Greece
Avarua,Winter,2019,25.781111111111112,0.9448731493774633,812.7,54,0.0,0,47371.51966666666,35545.45222222222,2,Cook Islands
Baghdad,Winter,2019,12.272777777777778,2.1392553717515916,146.3,19,0.0,0,37395.40144444444,28258.18077777778,0,Iraq
Baku,Winter,2019,6.718333333333333,2.004691828147832,104.6,20,1.54,0,35525.55433333333,18396.709666666666,4,Azerbaijan
Bamako,Winter,2019,26.733333333333334,1.9964012566435854,0.0,0,0.0,0,41499.25133333333,37593.044444444444,3,Mali
Bandar Seri Begawan,Winter,2019,26.454444444444444,0.677389422314203,982.2,74,0.0,0,42811.205444444444,30640.93488888889,2,Brunei
Bangui,Winter,2019,28.727777777777778,1.3363776107828775,44.6,8,0.0,0,42893.35188888889,36035.824,0,Central African Republic
Basseterre,Winter,2019,25.121666666666666,0.8272415920910855,189.0,53,0.0,0,40665.35033333333,37236.218222222225,2,Saint Kitts and Nevis
Beijing,Winter,2019,-1.2783333333333333,3.0439113107013704,0.0,0,4.83,2,35668.25877777778,28129.238666666668,3,People's Republic of China
Beirut,Winter,2019,15.601666666666668,1.7364798759417182,672.8,50,0.0,0,37243.142555555554,28696.06744444444,2,Lebanon
Belgrade,Winter,2019,3.0738888888888884,4.09282894237721,97.2,20,63.21,15,34125.31255555555,15920.188555555555,1,Serbia
Belmopan,Winter,2019,23.418333333333333,1.7549520624715174,239.1,46,0.0,0,40678.07988888889,33242.54888888889,2,Belize
Berlin,Winter,2019,3.1516666666666664,3.0400459229233934,108.6,27,14.0,5,30961.49222222222,14577.468777777776,4,Germany
Bishkek,Winter,2019,1.472777777777778,3.6819264094891797,26.900000000000002,8,69.16,23,34775.37411111111,20570.829555555556,1,Kyrgyzstan
Bissau,Winter,2019,27.106666666666666,1.2034874417591177,0.0,0,0.0,0,41633.016111111116,36429.660444444446,3,Guinea-Bissau
Bogotá,Winter,2019,13.033333333333333,0.729591235409607,422.6,66,0.0,0,42858.15622222222,35550.371,2,Colombia
Brasília,Winter,2019,23.439999999999998,1.0988042530482178,274.4,48,0.0,0,46344.18155555555,38240.71133333333,2,Brazil
Bratislava,Winter,2019,2.2177777777777776,3.439177056574277,80.2,14,32.83,9,32911.31,19083.337111111112,4,Slovakia
Brazzaville,Winter,2019,26.314444444444447,0.7378317933688314,601.1,64,0.0,0,44335.36744444444,30773.067333333332,2,Republic of the Congo
Bridgetown,Winter,2019,26.55166666666667,0.7468078133712568,80.1,21,0.0,0,41413.725999999995,37116.57611111111,0,Barbados
Bucharest,Winter,2019,1.9733333333333332,3.679828098085652,70.4,16,19.81,4,34268.75044444444,17993.23188888889,4,Romania
Budapest,Winter,2019,2.445,3.5536581089148385,96.7,17,31.919999999999998,8,33157.31844444445,18538.581000000002,4,Hungary
Buenos Aires,Winter,2019,23.316666666666666,3.4408566349126604,314.3,30,0.0,0,50395.06488888889,38838.06122222222,0,Argentina
Cairo,Winter,2019,14.545555555555554,2.1072593154905266,15.5,3,0.0,0,38138.99255555555,32664.517666666667,3,Egypt
Canberra,Winter,2019,23.06222222222222,4.025203680456872,85.4,13,0.0,0,50581.414333333334,43344.77533333333,0,Australia
Castries,Winter,2019,25.99277777777778,0.8502993891483236,162.9,47,0.0,0,41254.00033333334,37657.769555555555,2,Saint Lucia
Cetinje,Winter,2019,4.018888888888889,3.9528298622758693,537.5,29,39.9,6,34930.606999999996,22681.472444444444,4,Montenegro
Chișinău,Winter,2019,1.3777777777777778,4.454123900986962,45.5,14,49.7,12,33343.94388888889,13876.996666666666,1,Moldova
City of Brussels,Winter,2019,5.223888888888888,3.213229568079213,171.1,36,15.96,5,31756.510222222223,15078.348888888888,4,Belgium
Commune of Monaco,Winter,2019,9.419444444444444,2.200838635412894,238.6,16,0.77,0,34479.57044444444,26511.030888888887,4,Monaco
Conakry,Winter,2019,26.852777777777778,0.6565726942779498,1.3,1,0.0,0,42030.21388888889,36404.17844444444,3,Guinea
Copenhagen,Winter,2019,3.7455555555555557,2.382457475061078,134.0,29,10.57,4,29286.834333333332,12566.450111111111,4,Denmark
Dakar,Winter,2019,22.18,1.5940690636780055,0.0,0,0.0,0,41142.69733333333,35662.002,3,Senegal
Dhaka,Winter,2019,19.508333333333333,2.1330366864210224,44.1,5,0.0,0,39458.98366666667,33631.756222222226,0,Bangladesh
Djibouti City,Winter,2019,25.307777777777776,0.7523711995900262,48.6,15,0.0,0,41681.47522222222,36941.35322222222,0,Djibouti
Doha,Winter,2019,19.726666666666667,1.9868556831380522,58.099999999999994,8,0.0,0,39150.09133333334,32395.53411111111,0,Qatar
Dublin,Winter,2019,6.652777777777778,2.9307490424910867,133.4,33,0.49,0,30571.566,13554.869777777778,4,Ireland
Freetown,Winter,2019,27.554444444444446,0.4565776725117031,12.8,4,0.0,0,42209.03088888888,36363.761666666665,3,Sierra Leone
Gaborone,Winter,2019,26.07111111111111,2.739422740981709,151.3,22,0.0,0,48070.29755555556,39694.454333333335,0,Botswana
Georgetown,Winter,2019,26.107777777777777,0.6042876347965759,372.7,75,0.0,0,42493.35611111111,37205.27455555555,2,Guyana
Gibraltar,Winter,2019,12.833333333333334,1.6676027333884107,193.1,22,0.0,0,36681.22977777778,29439.747777777775,0,Gibraltar
Gitega,Winter,2019,18.986666666666665,0.5862564534514596,439.9,65,0.0,0,44193.807888888885,36296.68277777778,2,Burundi
Guatemala City,Winter,2019,18.598333333333333,1.524471726515065,70.7,20,0.0,0,41142.69733333333,37632.093555555555,0,Guatemala
Havana,Winter,2019,23.986666666666668,1.627274553328389,128.7,21,0.0,0,39569.41777777778,34055.977222222224,0,Cuba
Helsinki,Winter,2019,-0.44722222222222224,3.774465964987489,104.6,25,84.42,25,26109.451222222222,7274.497666666667,1,Finland
Honiara,Winter,2019,26.785555555555554,0.7421213309915079,770.5,72,0.0,0,45220.61288888889,33447.65311111111,2,Solomon Islands
Islamabad,Winter,2019,10.563333333333334,1.7451183920431284,233.5,27,0.0,0,37294.16255555555,26104.63488888889,0,Pakistan
Jakarta,Winter,2019,26.977777777777778,0.618947598620192,810.1,83,0.0,0,44655.57911111111,32557.089111111112,2,Indonesia
Jerusalem,Winter,2019,9.164444444444444,2.3024808853095773,254.2,34,0.49,0,37741.717000000004,30247.208222222223,0,Israel
Kabul,Winter,2019,-1.5327777777777776,4.351276198634602,15.3,4,145.46,23,37088.44022222223,27165.283222222224,1,Afghanistan
Kathmandu,Winter,2019,10.988333333333333,1.689442598058552,142.5,25,0.0,0,38641.258888888886,31844.481333333333,0,Nepal
Kigali,Winter,2019,20.345,0.7554688253445109,219.2,44,0.0,0,43946.93033333333,37251.99811111111,2,Rwanda
Kingston,Winter,2019,24.905555555555555,0.8660398194015131,62.2,22,0.0,0,40550.342,37055.02566666667,0,Jamaica
Kingstown,Winter,2019,26.122222222222224,0.753274168237788,105.3,31,0.0,0,41401.481222222224,37730.066,0,Saint Vincent and the Grenadines
Kinshasa,Winter,2019,26.610555555555553,0.725169272933563,583.6,64,0.0,0,44347.183000000005,30584.203777777777,2,Democratic Republic of the Congo
Kuala Lumpur,Winter,2019,27.145000000000003,0.7237950079153251,410.7,72,0.0,0,43104.247777777775,35969.21355555556,2,Malaysia
Kuwait City,Winter,2019,15.54,2.346240119132996,73.3,17,0.0,0,38293.712,28672.724000000002,0,Kuwait
La Paz,Winter,2019,10.883888888888889,0.8570863819751713,452.5,71,3.22,0,46473.553,35192.92277777778,2,Bolivia
Libreville,Winter,2019,26.679444444444446,0.5853978981223728,959.6,89,0.0,0,43560.41777777778,28611.15111111111,2,Gabon
Lilongwe,Winter,2019,22.463333333333335,1.0344297674662217,557.7,70,0.0,0,46012.559222222226,32928.617666666665,2,Malawi
Lima,Winter,2019,22.24388888888889,1.7058199744605005,32.9,7,0.0,0,45674.65977777778,37301.05722222222,0,Peru
Lisbon,Winter,2019,12.339444444444444,1.9526342685629956,154.1,17,0.0,0,36005.641444444445,27299.265222222224,0,Portugal
Ljubljana,Winter,2019,2.1222222222222222,3.354061022599447,235.3,19,26.25,6,33680.22033333333,20743.387222222223,4,Slovenia
Lobamba,Winter,2019,22.164444444444445,2.761261359348606,528.4,57,0.0,0,48458.93311111112,32471.13133333333,2,Eswatini
Luanda,Winter,2019,27.557777777777776,0.7632688097289956,166.5,28,0.0,0,45111.51144444444,36687.561,0,Angola
Luxembourg,Winter,2019,3.1172222222222223,3.3584637431580777,181.1,31,21.49,9,32308.612777777777,14583.073,4,Luxembourg
Majuro,Winter,2019,27.42222222222222,0.40530964103830647,629.2,58,0.0,0,42446.10244444445,34074.06788888889,2,Marshall Islands
